Option,Description,Aliases
Live,Mainline Retail Live,wow
PTR,Mainline Retail PTR,wowt
Beta,Mainline Retail Beta,wow_beta
PTR2,Retail PTR 2,wowxptr
Era,Classic Era Live,wow_classic_era
EraT,Classic Era PTR,wow_classic_era_ptr
EraB,Classic Era Beta,wow_classic_era_beta
Prog,Classic Progression Live,wow_classic
ProgT,Classic Progression PTR,wow_classic_ptr
ProgB,Classic Progression Beta,wow_classic_beta
