FDID,Source,Value
124292,Auto,Medium
124293,Auto,Medium
124297,Auto,Medium
124298,Auto,Medium
124299,Auto,Medium
124313,Auto,Medium
124315,Auto,Medium
124317,Auto,Medium
124324,Auto,Large
124325,Auto,Medium
124328,Auto,Medium
124329,Auto,Medium
124342,Auto,Small
124345,Auto,Medium
124348,Auto,Medium
124351,Auto,Medium
124366,Auto,Small
124367,Auto,Small
124368,Auto,Small
124369,Auto,Small
124377,Auto,Small
124378,Auto,Small
124379,Auto,Small
124380,Auto,Small
124387,Auto,Medium
124393,Auto,Medium
124410,Auto,Medium
124417,Auto,Medium
124421,Auto,Medium
124424,Auto,Medium
124427,Auto,Small
124437,Auto,Small
124440,Auto,Small
124442,Auto,Small
124444,Auto,Small
124448,Auto,Small
124452,Auto,Small
124456,Auto,Small
124463,Auto,Small
124467,Auto,Small
124468,Auto,Small
124472,Auto,Small
124475,Auto,Small
124478,Auto,Small
124482,Auto,Small
124485,Auto,Small
124490,Auto,Small
124494,Auto,Small
124495,Auto,Small
124496,Auto,Small
124500,Auto,Small
124506,Auto,Small
124507,Auto,Small
124508,Auto,Small
124509,Auto,Small
124512,Auto,Small
124515,Auto,Small
124516,Auto,Small
124517,Auto,Small
124521,Auto,Small
124522,Auto,Small
124533,Auto,Small
124534,Auto,Small
124540,Auto,Small
124541,Auto,Small
124544,Auto,Small
124547,Auto,Small
124552,Auto,Small
124553,Auto,Small
124565,Auto,Small
124566,Auto,Small
124569,Auto,Small
124571,Auto,Small
124572,Auto,Small
124576,Auto,Small
124578,Auto,Small
124579,Auto,Small
124580,Auto,Small
124581,Auto,Medium
124591,Auto,Medium
124601,Auto,Small
124610,Auto,Small
124612,Auto,Large
124614,Auto,Large
124618,Auto,Large
124622,Auto,Medium
124630,Auto,Medium
124637,Auto,Medium
124639,Auto,Small
124640,Auto,Small
124641,Auto,Small
124642,Auto,Small
124643,Auto,Large
124649,Auto,Medium
124652,Auto,Medium
124656,Auto,Medium
124659,Auto,Small
124667,Auto,Medium
124670,Auto,Medium
124677,Auto,Medium
124678,Auto,Very Large
124682,Auto,Very Large
124691,Auto,Small
124694,Auto,Medium
124695,Auto,Medium
124696,Auto,Medium
124697,Auto,Medium
124711,Auto,Medium
124727,Auto,Very Large
124735,Auto,Medium
124738,Auto,Small
124739,Auto,Medium
124747,Auto,Medium
124753,Auto,Medium
124765,Auto,Medium
124777,Auto,Medium
124779,Auto,Medium
124781,Auto,Medium
124785,Auto,Small
124790,Auto,Medium
124801,Auto,Medium
124802,Auto,Large
124804,Auto,Large
124809,Auto,Small
124824,Auto,Medium
124827,Auto,Medium
124830,Auto,Small
124836,Auto,Medium
124841,Auto,Medium
124842,Auto,Medium
124844,Auto,Medium
124850,Auto,Medium
124853,Auto,Medium
124857,Auto,Small
124865,Auto,Medium
124872,Auto,Medium
124880,Auto,Medium
124890,Auto,Small
124898,Auto,Small
124903,Auto,Medium
124904,Auto,Medium
124915,Auto,Medium
124916,Auto,Medium
